R ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
115,0.173,0.558,0.374,0.473,0.466,167.725,0.461,115,1.014,0.986,0.949
116,0.173,0.558,0.369,0.476,0.464,12.945,0.417,116,1.026,0.975,0.931
117,0.174,0.557,0.37,0.477,0.464,11.718,0.428,117,1.028,0.973,0.937
118,0.175,0.558,0.375,0.475,0.47,32.525,0.41,118,1.01,0.99,0.932
119,0.176,0.56,0.382,0.479,0.469,85.941,0.491,119,1.019,0.981,0.942
120,0.176,0.558,0.384,0.481,0.467,82.258,0.468,120,1.03,0.971,0.944
121,0.176,0.558,0.384,0.48,0.466,92.091,0.559,121,1.03,0.971,0.953
122,0.174,0.559,0.378,0.471,0.469,93.945,0.482,122,1.006,0.995,0.952
123,0.173,0.56,0.368,0.471,0.467,163.374,0.403,123,1.01,0.99,0.94
124,0.172,0.558,0.366,0.472,0.465,160.197,0.372,124,1.016,0.985,0.931
125,0.174,0.561,0.368,0.475,0.467,146.545,0.359,125,1.016,0.985,0.933
126,0.177,0.563,0.372,0.479,0.471,100.039,0.392,126,1.016,0.984,0.937
127,0.178,0.564,0.377,0.485,0.467,101.702,0.435,127,1.037,0.964,0.945
128,0.176,0.562,0.382,0.484,0.464,89.059,0.45,128,1.043,0.959,0.934
129,0.177,0.563,0.376,0.485,0.465,88.843,0.375,129,1.044,0.958,0.92
130,0.175,0.561,0.371,0.476,0.467,72.173,0.35,130,1.018,0.982,0.929
131,0.174,0.565,0.366,0.473,0.468,8.404,0.361,131,1.011,0.99,0.927
132,0.174,0.563,0.366,0.473,0.469,18.728,0.376,132,1.009,0.991,0.927
133,0.177,0.565,0.367,0.479,0.47,70.609,0.316,133,1.019,0.982,0.932
134,0.178,0.567,0.372,0.484,0.467,85.356,0.347,134,1.035,0.966,0.938
135,0.177,0.567,0.379,0.484,0.466,79.486,0.355,135,1.039,0.963,0.93
136,0.177,0.568,0.382,0.483,0.466,81.689,0.388,136,1.037,0.964,0.941
137,0.175,0.568,0.378,0.477,0.467,77.244,0.366,137,1.021,0.979,0.942
138,0.174,0.565,0.372,0.473,0.468,41.541,0.406,138,1.01,0.99,0.942
139,0.173,0.563,0.371,0.474,0.466,10.614,0.397,139,1.018,0.983,0.939
140,0.175,0.564,0.368,0.474,0.469,161.545,0.293,140,1.012,0.988,0.93
141,0.175,0.563,0.378,0.472,0.472,6.733,0.389,141,1.001,0.999,0.945
142,0.177,0.563,0.377,0.48,0.469,84.529,0.361,142,1.024,0.977,0.94
143,0.178,0.558,0.382,0.484,0.467,90.144,0.428,143,1.036,0.965,0.947
144,0.177,0.558,0.378,0.483,0.465,87.274,0.409,144,1.039,0.963,0.947
145,0.175,0.556,0.375,0.476,0.468,84.725,0.447,145,1.018,0.982,0.946
146,0.174,0.554,0.369,0.472,0.468,13.581,0.403,146,1.008,0.992,0.933
147,0.172,0.554,0.367,0.472,0.465,4.175,0.424,147,1.016,0.984,0.945
148,0.173,0.553,0.369,0.472,0.468,2.364,0.41,148,1.008,0.992,0.94
149,0.175,0.553,0.372,0.475,0.47,111.535,0.389,149,1.01,0.99,0.939
150,0.176,0.555,0.38,0.479,0.467,108.556,0.464,150,1.024,0.976,0.941
151,0.176,0.555,0.38,0.481,0.467,97.054,0.447,151,1.03,0.971,0.941
152,0.176,0.555,0.38,0.477,0.469,95.242,0.503,152,1.019,0.982,0.944
153,0.174,0.555,0.374,0.472,0.468,73.27,0.475,153,1.009,0.991,0.937
154,0.172,0.557,0.368,0.474,0.463,179.855,0.454,154,1.025,0.976,0.944
155,0.173,0.556,0.368,0.474,0.464,3.257,0.405,155,1.024,0.977,0.932
156,0.174,0.559,0.371,0.474,0.467,175.67,0.426,156,1.015,0.985,0.945
157,0.176,0.56,0.373,0.477,0.47,85.051,0.493,157,1.015,0.986,0.944
158,0.175,0.561,0.382,0.479,0.466,87.997,0.456,158,1.028,0.973,0.944
159,0.176,0.562,0.382,0.481,0.466,83.971,0.455,159,1.032,0.969,0.943
160,0.175,0.564,0.379,0.477,0.467,77.3,0.444,160,1.021,0.979,0.939
161,0.174,0.564,0.37,0.473,0.469,70.664,0.409,161,1.008,0.992,0.931
162,0.174,0.564,0.367,0.473,0.467,172.356,0.381,162,1.013,0.987,0.933
163,0.175,0.564,0.365,0.473,0.47,5.901,0.337,163,1.005,0.995,0.929
164,0.176,0.563,0.369,0.474,0.473,126.024,0.364,164,1.002,0.998,0.934
165,0.177,0.563,0.376,0.48,0.469,92.951,0.383,165,1.024,0.977,0.938
166,0.176,0.563,0.379,0.479,0.467,93.965,0.443,166,1.027,0.974,0.948
167,0.175,0.563,0.381,0.479,0.466,94.861,0.477,167,1.027,0.974,0.946
168,0.174,0.561,0.375,0.474,0.468,96.56,0.436,168,1.012,0.988,0.949
169,0.173,0.559,0.371,0.471,0.467,175.947,0.404,169,1.01,0.99,0.945
170,0.173,0.56,0.368,0.474,0.465,0.729,0.439,170,1.019,0.981,0.946
171,0.173,0.561,0.368,0.475,0.465,168.606,0.447,171,1.021,0.98,0.945
172,0.176,0.56,0.374,0.475,0.471,127.252,0.45,172,1.01,0.99,0.946
173,0.177,0.562,0.379,0.481,0.468,99.986,0.478,173,1.027,0.974,0.948
174,0.176,0.559,0.38,0.481,0.467,99.819,0.516,174,1.03,0.971,0.953
175,0.176,0.558,0.377,0.481,0.466,94.071,0.467,175,1.032,0.969,0.941
176,0.174,0.559,0.371,0.472,0.469,97.282,0.404,176,1.005,0.995,0.934
177,0.174,0.559,0.366,0.473,0.468,147.428,0.374,177,1.011,0.989,0.933
