 ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
431,0.142,1.68,0.52,0.435,0.415,48.453,0.692,216,1.048,0.954,0.925
432,0.136,6.736,0.339,0.431,0.402,100.129,0.737,216,1.071,0.934,0.935
433,0.143,1.681,0.524,0.436,0.417,52.473,0.713,217,1.047,0.955,0.93
434,0.134,6.735,0.344,0.432,0.396,80.307,0.791,217,1.091,0.917,0.931
435,0.143,1.682,0.523,0.435,0.418,57.857,0.75,218,1.041,0.961,0.933
436,0.135,6.734,0.345,0.433,0.397,81.653,0.791,218,1.091,0.916,0.93
437,0.144,1.68,0.52,0.437,0.419,59.394,0.742,219,1.043,0.959,0.924
438,0.134,6.732,0.342,0.431,0.397,81.715,0.776,219,1.087,0.92,0.931
439,0.145,1.675,0.515,0.442,0.417,84.353,0.701,220,1.062,0.942,0.915
440,0.135,6.732,0.34,0.435,0.396,81.695,0.774,220,1.1,0.909,0.934
441,0.146,1.679,0.513,0.448,0.416,72.125,0.702,221,1.077,0.929,0.924
442,0.136,6.729,0.345,0.434,0.398,87.946,0.73,221,1.089,0.918,0.929
443,0.143,1.678,0.515,0.443,0.41,71.034,0.769,222,1.08,0.926,0.93
444,0.136,6.733,0.345,0.431,0.4,87.447,0.792,222,1.077,0.929,0.945
445,0.14,1.677,0.512,0.431,0.413,74.657,0.695,223,1.043,0.958,0.926
446,0.136,6.733,0.344,0.432,0.401,90.582,0.812,223,1.076,0.929,0.947
447,0.139,1.67,0.514,0.427,0.413,87.275,0.687,224,1.034,0.967,0.919
448,0.136,6.735,0.344,0.431,0.402,89.391,0.802,224,1.073,0.932,0.944
449,0.135,1.666,0.52,0.425,0.404,65.61,0.694,225,1.053,0.95,0.906
450,0.136,6.736,0.34,0.433,0.4,90.19,0.765,225,1.081,0.925,0.937
451,0.133,1.656,0.518,0.418,0.405,76.483,0.77,226,1.031,0.97,0.93
452,0.135,6.735,0.352,0.434,0.396,77.921,0.824,226,1.094,0.914,0.943
453,0.132,1.651,0.517,0.422,0.397,89.447,0.795,227,1.064,0.94,0.936
454,0.136,6.732,0.351,0.433,0.4,76.167,0.842,227,1.081,0.925,0.945
455,0.136,1.645,0.514,0.424,0.408,57.684,0.741,228,1.04,0.962,0.926
456,0.139,6.733,0.348,0.437,0.406,88.114,0.825,228,1.078,0.928,0.946
457,0.138,1.639,0.516,0.433,0.406,67.813,0.735,229,1.067,0.937,0.916
458,0.139,6.737,0.345,0.436,0.405,85.578,0.781,229,1.078,0.928,0.942
459,0.137,1.635,0.515,0.432,0.403,68.976,0.669,230,1.073,0.932,0.912
460,0.137,6.734,0.344,0.437,0.4,84.763,0.816,230,1.09,0.917,0.94
461,0.136,1.634,0.513,0.431,0.403,72.109,0.661,231,1.072,0.933,0.915
462,0.138,6.733,0.342,0.438,0.4,84.05,0.805,231,1.094,0.914,0.938
463,0.137,1.635,0.514,0.434,0.402,78.817,0.749,232,1.078,0.927,0.913
464,0.139,6.73,0.342,0.437,0.404,85.623,0.895,232,1.083,0.923,0.95
465,0.142,1.63,0.509,0.435,0.417,73.71,0.744,233,1.044,0.958,0.914
466,0.138,6.728,0.346,0.441,0.4,88.44,0.841,233,1.103,0.907,0.944
467,0.139,1.628,0.517,0.437,0.406,64.094,0.754,234,1.077,0.929,0.907
468,0.136,6.728,0.344,0.44,0.395,89.434,0.818,234,1.113,0.899,0.942
469,0.14,1.627,0.519,0.431,0.412,76.788,0.724,235,1.045,0.957,0.909
470,0.138,6.729,0.344,0.443,0.396,85.49,0.852,235,1.12,0.893,0.948
471,0.139,1.628,0.517,0.432,0.408,73.891,0.742,236,1.058,0.945,0.915
472,0.137,6.729,0.344,0.44,0.395,82.765,0.798,236,1.114,0.897,0.94
