R ,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
120,0.536233,-1.006575,0.315578,-1.006575,0.315578,0.933631,0.731288,178.236833,0.743036,120,1.276695,0.783272,0.973057
121,0.554338,-1.020727,0.359668,-1.020740,0.359681,0.896394,0.787382,175.841009,0.748271,121,1.138448,0.878388,0.969787
122,0.575155,-1.038330,0.420235,-1.038353,0.420280,0.859300,0.852216,34.516849,0.670447,122,1.008312,0.991756,0.953023
123,0.569730,-1.053967,0.471036,-1.053874,0.471278,0.869775,0.834012,79.488423,0.544761,123,1.042881,0.958883,0.936142
124,0.574459,-1.069192,0.552120,-1.069192,0.552120,0.906483,0.806881,86.249427,0.835180,124,1.123441,0.890122,0.981853
125,0.584242,-1.085830,0.612301,-1.085830,0.612301,0.942002,0.789680,87.299470,0.848565,125,1.192890,0.838300,0.984319
126,0.584126,-1.103552,0.673124,-1.103552,0.673124,0.937272,0.793507,88.560207,0.855458,126,1.181177,0.846613,0.986609
127,0.584821,-1.122027,0.719828,-1.122027,0.719810,0.923142,0.806612,90.230210,0.813561,127,1.144469,0.873768,0.984200
128,0.566832,-1.140646,0.761360,-1.140646,0.761360,0.860594,0.838622,101.313128,0.880374,128,1.026200,0.974469,0.987222
129,0.545784,-1.158967,0.809569,-1.158967,0.809569,0.875033,0.794157,174.628940,0.885550,129,1.101839,0.907573,0.986529
130,0.534680,-1.177356,0.855954,-1.177360,0.855938,0.888655,0.766074,176.983910,0.866681,130,1.160012,0.862060,0.984821
131,0.532385,-1.195889,0.896515,-1.195889,0.896515,0.879113,0.771065,177.584975,0.876504,131,1.140129,0.877094,0.985538
132,0.547824,-1.214497,0.931648,-1.214497,0.931648,0.846327,0.824162,0.926708,0.895043,132,1.026894,0.973811,0.988290
133,0.568107,-1.233321,0.966035,-1.233321,0.966035,0.894957,0.808236,88.234851,0.890559,133,1.107297,0.903100,0.987509
134,0.577589,-1.251833,1.004813,-1.251833,1.004813,0.933588,0.787723,87.667658,0.867464,134,1.185172,0.843759,0.986968
135,0.581599,-1.271572,1.041390,-1.271572,1.041390,0.938945,0.788667,88.532605,0.875315,135,1.190546,0.839951,0.987698
136,0.580278,-1.290280,1.068395,-1.290280,1.068395,0.916432,0.806206,89.787877,0.880482,136,1.136723,0.879722,0.986794
137,0.563587,-1.310106,1.093105,-1.310106,1.093105,0.861380,0.833060,96.252507,0.880564,137,1.033995,0.967123,0.986989
138,0.542052,-1.328587,1.118127,-1.328587,1.118127,0.867639,0.795448,177.177003,0.889977,138,1.090754,0.916797,0.987958
139,0.530878,-1.347462,1.147389,-1.347462,1.147389,0.878474,0.769442,178.265546,0.881954,139,1.141703,0.875885,0.986304
140,0.530762,-1.366199,1.169599,-1.366199,1.169599,0.866749,0.779681,179.383649,0.880703,140,1.111671,0.899546,0.985962
141,0.541750,-1.385013,1.186917,-1.385013,1.186917,0.837235,0.823876,4.773498,0.884683,141,1.016214,0.984045,0.986555
142,0.560597,-1.403713,1.203465,-1.403713,1.203465,0.891575,0.800576,87.668520,0.884061,142,1.113666,0.897935,0.986900
143,0.571654,-1.422730,1.224387,-1.422730,1.224387,0.927022,0.785151,87.845573,0.884776,143,1.180692,0.846961,0.987981
144,0.576661,-1.441389,1.243681,-1.441389,1.243681,0.930829,0.788789,88.143397,0.880286,144,1.180074,0.847405,0.988555
